id,oppgave_master_id,kode,beskrivelse,bygningsdel
3e8907d3-a1f1-47cb-acbb-72e660e1f47b,325.03,1.3,Lagre servicerapport som dokumentasjon,325
3eb32ee5-f028-46a5-869f-f44be211fed9,660.01,1.5,Bestill tømming ved behov,660
3f07bafa-f780-4314-9889-9a27a80cdb6f,262.01,1.4,Kontroller at alle gjennomføringer er tette,262
3f37ee14-db59-4d7c-bbe5-d4d76a8456a3,365.01,1.3,Lagre servicerapport som dokumentasjon,365
3fb193b6-2607-47ae-9c81-11c843bf0427,360.01,1.17,Etterfhyll sluk i tilfluktsaggregat og i tekniske rom,360
404dfbcc-5ff1-4dbf-a828-bd09fb7783f2,430.01,1.02,"Kontroller merking, stenging og låsfunksjon av tavledør",430
40b9e6dd-e351-4723-b75c-3fcb4d6e715d,745.01,1.5,Kontroller at kursen til varmekablene i fordelingsskap,745
423f6de5-9acd-4cbf-aac2-ce85b5d0bf86,651.01,1.1,"Bestill årlig kontroll, ettersyn og vedlikehold på komprimator og avfallssystemer",651
461df133-50b2-4e8b-ae61-9ddf9363ccb4,542.02,1.3,Kontoller nødstrømsbatterier hvis det er aktuelt,542
47b99249-4809-4ab8-ac36-d944d638a722,413.01,1.3,Kontroller at lynfangere ikke er bøyd eller knekt,413
47e17a11-bf9c-4596-8a62-115dec893f39,430.01,1.08,Kontroller merking og kapslinger,430
47e196f8-603f-4ec8-bab5-7edb9d2f86f9,627.01,1.2,Lukk evt. avvik fra servicerapporten,627
48c1f7e3-6927-4eb1-9925-f43e51508480,627.01,1.3,Lagre servicerapporten som dokumentasjon,627
49d75b8b-3db6-4cf7-b63c-a01dc1cd7d78,400.01,1.05,Kontroller at skjøteledninger brukes i samme rom som de er tilkoblet støpsel,400
49db39dd-a8fe-42d3-9f44-78c13c079290,333.02,1.1,Bestill årlig kontroll og ettersyn av vanntåkeanlegget fra sertifisert leverandør,333
49e5e271-9600-421e-991c-c53b1e2fc191,300.01,1.07,Les av og registrer overtrykk og undertrykk i loggboken,332
4af0a1a2-a8a5-42ea-99b6-c7f02e4a4586,542.03,1.3,Lagre servicerapporten som dokumentasjon,542
4c1baced-285b-405e-8ff8-e3e4782bc4dc,200.04,1.08,"Kontroller for riss, skader, avskalling (murpuss, maling), korrosjon og frostsprengning",235
5248ac4a-b991-484b-a5b9-2acd8d9ab03e,651.01,1.3,Lagre servicerapporten som dokumentasjon,651
5266e085-eb18-4ab9-aa3d-d5826d763cf1,310.02,1.3,Kontroller at eventuelle krannøkler er på plass,310
551b31e6-f241-4c76-9754-14e8fe4f5ff0,315.02,1.1,Bytt alle filter,315
562d8265-5285-4c82-813d-bea5e203c5de,325.01,1.4,"Kontroller alle radiatorer for luft, ulyder og lekkasjer",325
574e658a-1a95-47e2-8c51-9276202cee7b,300.01,1.10,"Utfør stikkprøver og kontroller oblat, veggfester, manometer og plombering",334
582eef50-9255-4c70-ac8f-bce4dd13b830,333.02,1.3,Lagre servicerapport som dokumentasjon,333
587c615a-e2fc-4023-87cc-2963a0ceb01c,731.01,1.3,Spyl pumpekummer med vannslange,731
58ef06cb-e9ae-4eae-994f-6632dd03770d,262.01,1.2,Kontroller takbelegg og/eller membraner,262
5a232292-f3f4-4a3b-bd1e-5201cae0cf36,237.01,1.1,Bestill årlig kontroll og ettersyn for solavskjerming,237
5a2e5f2d-81f5-40e9-a347-7700b3f66d3d,732.01,1.4,"Kontroller tilstrekkelig med glykol i vann/glykolblandingen, slik at mengdeforholdet er korrekt",732
5a34072d-226b-4aaa-9a84-1d9b01729426,200.04,1.07,Kontroller at dører og tetningslister er uten skader og at låsene fungerer. Smør ved behov.,234
5a90c9cd-881b-4098-8e62-9fc276386a2f,400.01,1.10,Kontroller at synlig elektrisk utstyr er rene for nedstøvning eller skitt,400
5acba3e3-29cd-4340-b048-6a9b9d781844,443.03,1.1,"Bestill årlig kontroll, ettersyn og vedlikehold på nødlysanlegget mv.",443
5ad6aa1e-598d-40b6-9459-8125bb58e6d0,360.01,1.14,"Kontroller utkastrist for løv, is snø, smus etc. og rengjør ved behov",360
5b0fc395-6dca-4385-b9e2-5027667ee619,542.02,1.4,Utfør klokkeprøve,542
5b30602e-be86-4814-8911-46d587434e44,400.02,1.1,Bestill elkontroll for alle elektrofordelinger inkl. termografering (ved behov) iht. IK-Elektro,400
5b8351e6-9768-41e9-add9-aca98b946ace,430.01,1.09,Kontorller branntettinger dersom tavle står i egen branncelle,430
5d5f8723-1f47-4ef9-a9cf-442aa6437ca7,738.02,1.2,"Utfør nedtapping, frostsikring av utendørs fontener og damanlegg i god tid før første frostnatt om høsten",738
5d98b530-0d14-4af7-a26e-da56dfbf292d,333.03,1.2,Lukke evt. avvik fra servicerapporten,333
5dcee556-e394-482d-9231-915f9bc8e0ed,369.01,1.3,Lagre servicerapport som dokumentasjon,369
5ee637a0-b186-45f9-a5cb-9fad99d68410,400.01,1.02,Kontroller at det er tilstrekkelig med stikkontakter i alle rom,400
5f3c29fd-7847-4bc1-a16e-e4539721ae24,315.01,1.3,Kontroller låsemekanismen på toalettdørene,315
600321c3-8cf7-4834-b7a2-fa7f746f38ae,360.01,1.09,Kontroller filterposene er hele og er tett mot pakningen rundt hele filteret,360
60674933-2af7-4ee4-89d6-840f6bcaa78e,732.02,1.1,Bestill årlig service og vedlikehold av gatevarmen,732
60b78c3b-2d9a-4cf9-ab14-d345357334db,315.01,1.1,"Kontroller toalleter, vasker og dusjer i felles arelar for lekkasje",315
621215bb-6fd2-4497-9d7d-a12afa92e936,732.01,1.6,"Kontroller at pumpen går uten ulyder, vibrasjoner eller har lekkasjer eller varmgang",732
62c4493d-6aa6-4057-8818-a95e039bc6b8,350.01,1.1,"Bestill årlig kontroll, ettersyn og vedlikehold for kjøleanlegget",350
640f7809-5363-4614-b787-f6f2bc49d6b4,542.04,1.1,Gjennomfør fullskala evakueringsøvelse,542
65009069-7fa4-4414-80a3-ea1dc025a9e6,310.02,1.2,Kontroller at kraner ikke lekker og at de er lette og betjene,310
